wbgene,public_name,seqname,score,score_var,rank_score,rank_var,has_symbol,go_annotated,category,soo_bound_published,isp1_upregulated
WBGene00001813,haf-3,F57A10.3,271.6700823279908,15.982201989407633,51,28,True,True,Other annotated function,Yes,Yes
WBGene00003655,nhr-65,Y17D7A.3,256.78475777965,9.876594937319291,52,47,True,True,Other annotated function,Yes,Yes
WBGene00019261,H34I24.2,H34I24.2,249.86769358398726,11.03333086784584,53,43,False,False,Uncharacterised (no GO annotation),No,No
WBGene00004201,prx-19,F54F2.8,239.45274948657038,18.344034632646714,54,20,True,True,Other annotated function,Yes,Yes
WBGene00009396,clec-65,F35C5.8,235.99111299036286,9.412728602618278,55,54,True,False,Uncharacterised (no GO annotation),No,Yes
WBGene00008372,D1054.5,D1054.5,235.36108611173762,8.937841421449704,56,56,False,False,Uncharacterised (no GO annotation),No,Yes
WBGene00018874,tag-234,F55C12.7,225.20290376275153,9.815492372317307,57,49,True,False,Uncharacterised (no GO annotation),No,No
WBGene00011274,R53.5,R53.5,162.9104683093886,9.920931933110326,58,46,False,True,Other annotated function,No,Yes
WBGene00010810,M01F1.4,M01F1.4,142.14767481981806,10.578488784422289,59,44,False,True,Other annotated function,No,Yes
WBGene00012362,W09D10.4,W09D10.4,126.68522483615556,9.346330994016805,60,55,False,True,Other annotated function,Yes,Yes
WBGene00010842,ymel-1,M03C11.5,118.84233126126014,8.101192892544585,61,58,True,True,Folding/QC (census),No,Yes
